conversation_id,conversation,predicted_primary,predicted_secondary,predicted_tertiary,confidence,latency_ms,input_tokens,output_tokens
89,a81838cfd5ea13df45daffde7d9a9373cbe07a6e02ac0ef308ba71bf1ecd8851,Order Management,Order Modifications,Expedited Shipping Requests,0.8,5510,668,34
90,d5f935403c311b996483d72426f889e92d7be75c04afcbe9df3382d2e1685200,Warranty & Support,Warranty Information,Warranty Terms and Conditions,1.0,4826,495,31
91,0e604455250b118ea0db13383a8e15a5f20e269163d7c4e3a066ac1f84a5de45,Order Management,Order Status & Tracking,Order Confirmation Checks,0.95,4562,580,32
92,8639885385d0f90f256264d5f05b8a16929e99e331d8c8acad8f1dc990e76264,Warranty & Support,Warranty Information,Warranty Terms and Conditions,0.9,4880,512,34
93,a22979c31e9a7c749da7d5313a90eb6fd7f2024707338faa02be88e0cc835d65,Account Management,Account Information Updates,Email Address Changes,0.95,5119,577,33
94,8373f026c366b90242b77754b393781b8a7c3f7b7aa7fdb930a8c1cbde8687c4,Order Management,Order Modifications,Cancellation Requests,0.0,5087,732,33
95,cde3dc8c2befac8c1eab2d6c92179651d9dfd28e768290a27602c1a47d3f5100,Account Management,Login Issues,Mobile/Email Verification Problems,0.9,24795,530,38
96,4846422925c217887295363561111149d0cfacd1a2de8a55538102ef2a5a3255,ERROR,ERROR,ERROR,0.0,0,0,0
97,adc1e8205d0bf5b953d84f29f302ca86fd696f5ef6348effe965ccde7788cc34,Warranty & Support,Warranty Information,Warranty Terms and Conditions,0.9,5115,510,31
98,41a7e7dcc8ece2a2427edf99b7248ab9f75593da22dbe9c2d901588480154b64,Returns & Exchanges,Return Processes,Return Fees and Policies,0.9,4834,532,31
99,51d6376a648292573b500d0434da5ac1dfbe732714bdd626ad142b262ce9d98f,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.8,4861,727,32
100,d71489b5d70f2a3f73772b948208dc14054cd8f4791a31cfdd0ebf8119d816e2,Pricing & Promotions,Pricing Discrepancies,Different Prices for Same Products,0.9,5186,871,32
101,95dd98f454e88d7c37aa22d2699643e6e6c82ab4e0a4218b387fe4c5b5b954f7,Warranty & Support,Warranty Information,Warranty Start Dates,0.8,7678,442,35
102,6f2460eb6495d8681783dcd3fcc01692004efdd62747d209a9ac036a187b7983,Account Management,Login Issues,Password Reset Requests,0.95,8452,598,32
103,13988fff51c6261718d1e33e7b66d613c5b1c6a305ef2733a9a3fb15aa79079c,Returns & Exchanges,Exchange Requests,Product Replacements,0.0,6235,676,31
104,e5c1bdba0b15bb98b1e5b93a347224a6fd28e7faececa0302a2f0238dfa00346,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.9,8025,585,30
105,e8d5910ec28e7e2dfc4f7c820618a4917df6b26c8e05d0b8b5039f01fa38ae27,Order Management,Order Status & Tracking,Delivery Status Inquiries,0.8,8310,649,32
106,044d70eb450f3620dcf69601ba5c2e705f63567d85e4bab0fccf36476db2008d,Order Management,Order Status & Tracking,Delivery Status Inquiries,0.9,6751,530,32
107,af26f98db597a5d8122909db5b289e0beb397ab2dd54484986b83cf17a41d246,Account Management,Login Issues,Password Reset Requests,1.0,4738,556,32
108,2cac4e381f0da88fac43b2b7c593426c8ae2694d59b3ab7083064efaa7d6e03e,Account Management,Login Issues,Password Reset Requests,0.9,5330,666,32
109,315cc415b6904e49be814a5801e556df3da2db33f00c5981a0ba2fb827cce4a6,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.9,5741,793,32
110,e89886ea0704ecf89bdd9938bbcaf95139064418e7a124a2d2d05111e08d8472,Product Issues,Wrong Items Received,Size/Model Mismatches,1.0,5069,659,33
111,b02a695fba748b1df0788d85b2e10dfac8961f2cee4dba790bf654de445df545,Delivery & Shipping,Shipping Options,Faster Delivery Requests,1.0,4845,507,32
112,b2788ed169ba01bf44cc6aadd8d8ef6350c6c206fc412005fc3d7f3f624b2e2a,Account Management,Login Issues,Password Reset Requests,0.8,5015,712,32
113,c8ddf11db5f3636f697b5d862d1a220cd64f819df378442799d856d6b4a2c348,ERROR,ERROR,ERROR,0.0,0,0,0
114,c40b5fe9a36d8b1265ee99310d3a68240af735d341967266d63d4f2b7c3687fc,Order Management,Order Status & Tracking,Delivery Status Inquiries,0.8,5488,574,32
115,0f9691c1c852949df77c6c86564c736524b0c57f2434102d084b17d7fc479cdd,Warranty & Support,Warranty Information,Warranty Terms and Conditions,0.95,8254,572,32
116,a6154ec27f6f1679b3ddc4c2b07fc57e2ee030994bf618555ed30606e5463380,Product Issues,Defective Products,Not Working Properly,0.9,6721,690,34
117,951b9d22b94d3e6d91374e4f7779ffdff8d5bd1f46116cdf6ff3ffbee72227f3,Account Management,Account Information Updates,Email Address Changes,0.0,4966,528,33
118,4608ceb287627ca632a17350aa4109533cfa47373163bee429d516876f89bdd0,Pricing & Promotions,Pricing Discrepancies,Different Prices for Same Products,0.9,7341,583,32
119,5b411d70418a849686c571e42862b2379c48ed2be0bb059f1d6277bbc9d11379,Delivery & Shipping,Shipping Options,Shipping Availability by Location,0.0,4872,525,31
120,81714a665d639cff408cb7131733d70ee462866d72ce2b23f9ad74e12fff737b,Order Management,Order Status & Tracking,Delivery Status Inquiries,0.8,5716,746,32
121,7623261a0c0512766172ebd9492cde9e2f88df47cca1ac37cf191e8e2c237c3c,Order Management,Order Status & Tracking,Delivery Status Inquiries,0.9,5263,646,32
122,57640dbbb572d9a66768adc916d32f57267811368e2dc27329c0030d6ee4c0af,Returns & Exchanges,Return Processes,Return Eligibility,0.9,5763,566,39
123,fa918aabd08527b6c770029b5bb50ef7981464c0a689183ddbe0511a5a3bd963,Returns & Exchanges,Return Processes,Return Eligibility,0.9,5579,787,34
124,f0aa443d3b8c567b564c66910e3a76460448abec07fd2738b662d5a6ba0fb413,Returns & Exchanges,Return Processes,Return Eligibility,0.0,5446,635,31
125,4dbc91f5c7f29e790e5fc484d6afdda6ad0cf26ab3a5829fe8a876544061ff91,Product Issues,Defective Products,Not Working Properly,0.0,4892,711,33
126,d9aa937dcf8d79825f9dd3b71e0aab70e9873c67a8fbda61198a31565470d224,ERROR,ERROR,ERROR,0.0,0,0,0
127,5efee09fb8f330d508ea7a9aae58afd164e84723de441cd9eeacf540f94ab984,Warranty & Support,Warranty Information,Warranty Terms and Conditions,0.0,7733,699,32
128,4a4cc99ab44d5af9ca86f3fc1e48a51eb302b27d561224ce06e734043cc163a4,Account Management,Login Issues,Password Reset Requests,0.95,6254,563,33
129,7b16df3ec245d67221d51971959d4e92db704dba3352ad72060196e141032669,Order Management,Order Modifications,Cancellation Requests,0.95,35489,532,40
130,a5f9b0242f0eefef56e9560d97057420491ba7f356b39583074afaf71ce5372b,ERROR,ERROR,ERROR,0.0,0,0,0
131,283067bc1e3deef314f6b31c6d08308adfe7c5ffc3e226a43fe65347f0d78ed3,Warranty & Support,Warranty Information,Warranty Terms and Conditions,0.9,5265,577,31
132,fe7744384ae65b33603f8a6d381dbf64642b33e3a7ecb8bf77fe4474f6497d33,Warranty & Support,Technical Support,Service Center Issues,0.0,5458,986,32
133,86bbd4b6fb1bf329d8f168f90fb3f409489824bcaf08da0aedb3d5e587a3ea49,Product Issues,Defective Products,Not Working Properly,0.8,5364,578,33
134,d3a040527700a1baf4a3112003b64235d0abc02c7e5d36e11cf361472af09e1d,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.0,5269,730,30
135,23d3e0421bd4fd11807da1d3b8d7811a5e5db8c917f593a71021fb997f375caf,Warranty & Support,Warranty Information,Warranty Terms and Conditions,1.0,6013,474,34
136,4e4726c4d6164698fcb51363a708de306626a3da1323fde9ba5bf3e523a336d9,Returns & Exchanges,Return Processes,Return Eligibility,0.0,4757,730,31
137,2cf1305c93049db4223cc85ccb9d6fe74aa5ccc5ca4ef57f676fba881333119a,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.95,5607,621,33
138,25d280b22caa6d69f7536ae72deae4a6cf26c6a31e49b0732b73ad2499aa3565,Order Management,Order Status & Tracking,Order Confirmation Checks,0.8,6439,709,32
139,a24096be720f6411d4e311b5b4c62b15dffcefe011047ba357753028a22b3d52,Returns & Exchanges,Exchange Requests,Defective Item Exchanges,0.8,6689,957,32
140,4c27ae6a9ad69e3f505faf7e3a4522728af03ab3e63af16397de403a4e76e9cb,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.8,20701,453,30
141,f15c79eb20c3c092cfb0d0830fbe233470ad0234f56c1eed96c644e9c1c4b76b,Product Issues,Defective Products,Not Working Properly,0.9,4695,594,34
142,d0a2ef80b7d1d9c2e4f2767addbb962ece2482153f234cca83970c67652852b0,Warranty & Support,Warranty Information,Warranty Terms and Conditions,0.9,5062,531,32
143,361bbc2242c71094b43c0a06bf64a5b5e99386cb53fb93d291231e03fdabd21f,Delivery & Shipping,Shipping Options,Faster Delivery Requests,0.9,5402,592,32
144,3d43d4d67a6e09b8194e497206478fea863e9814704b1ea0cb8bb8c276b62fe0,Returns & Exchanges,Return Processes,Return Eligibility,0.8,4737,744,33
145,0d55282dab50c6cd833c5540afb949d906b54d5517b48d6a26a443ca5a98bb1d,ERROR,ERROR,ERROR,0.0,0,0,0
146,67374076a41b0efab78e8c7c45e03656de0ca45bebe90601f1d0838a4b2173bf,Returns & Exchanges,Return Processes,Return Fees and Policies,0.9,6477,995,32
147,d54d42bbace25f485e9860e7144957f4302bd892259364cec2da17ac121e3a52,Returns & Exchanges,Exchange Requests,Product Replacements,0.9,4955,725,33
148,1351acf04b2955ded96c4b38c4365cac9f421c6408bbf0ae63a5041dabe47067,ERROR,ERROR,ERROR,0.0,0,0,0
149,db75fde15f48229a1a640eb8b2a77e47c8ec4346f6f70c2fc878850ac77ced54,Warranty & Support,Warranty Information,Warranty Terms and Conditions,0.0,5427,642,33
150,425aed69fcda1685bd614b7c8c05e30a5203b17012be30e4b7a89c77b51635e0,Order Management,Order Status & Tracking,Order Confirmation Checks,0.9,5982,562,32
151,de9abf54129175d19dbf8f74c2e7cc38300f18be063e6f9cae52dad0024c89f0,Delivery & Shipping,Delivery Problems,Missing Packages,0.9,5131,569,33
152,9ea26955e245d87749640519ae238d63e6b43e0448ed8986592b5a50b36094df,Warranty & Support,Warranty Information,Warranty Terms and Conditions,0.0,5535,653,32
153,32555d67e2cdaf7e00c0bda6754741a2926380d59b6cb3387abfa9fb05c00657,Warranty & Support,Technical Support,Product Troubleshooting,0.8,5141,566,37
154,6840ff8201745e26271c1bfef37ea58274ca8b5c020e84bb46ae327d7e1284f7,Returns & Exchanges,Return Processes,Return Eligibility,0.9,59005,655,39
155,70dbf7ad4c7d5f22826bdef10c313b851bdffd79982bd793d1848f5de7a9a576,Order Management,Order Status & Tracking,Order Confirmation Checks,0.9,5969,589,32
156,27e79c495c3b44f5c1311d16871fb59af4ce50014ce109031529a8df10994507,Product Issues,Defective Products,Not Working Properly,0.8,7399,703,41
157,5273b08b9526fd34aec414a3725da3db2babf6852362a9fa6173030f360c4a3e,ERROR,ERROR,ERROR,0.0,0,0,0
158,a714c8f2ebbad9f1ce27c107f3dbaec6d94bfe0edf73538c0c9bc9161a91df72,Account Management,Login Issues,Password Reset Requests,1.0,10370,585,37
159,a41d3606034bf07aca0464c9c6d63a89da2a35eda284b2d9ef17ac6de7115255,Order Management,Order Status & Tracking,Order Confirmation Checks,0.9,11050,433,32
160,4aee729c2118d1548460001f5ffb0ab99380b4e2accc2c0e25764514ef92e650,Order Management,Delivery Problems,Delayed Deliveries,0.9,8024,804,32
161,307412734728345d0ea529a1ff6dcdb9ef07a6ba83bb01a2778165b30f7d4f35,Account Management,Login Issues,Password Reset Requests,0.95,7436,642,38
162,118a9df1b15b949497b857750be752dd96b6e387c011a98e5a76bc8612092d84,Product Issues,Defective Products,Not Working Properly,0.9,7744,575,34
163,50c94a530e392b70a154670d75f842f0edee5fa6fd8c1f3dfa2317bfd78ea6ea,Delivery & Shipping,Shipping Options,Faster Delivery Requests,0.9,7403,802,33
164,d3ad3854062708f88830590d189bb1f002b00b117235da507b398947533bc0d6,Returns & Exchanges,Return Processes,Return Eligibility,0.8,6304,672,38
165,5d4993d8392533f46c576bc6e4dc506319718d5f3b7779cbbaf44cb6173a8621,Product Issues,Defective Products,Not Working Properly,0.9,7273,485,33
166,206b7ae996e1787aed9eb031c0c9d0b0598c5712adfd00e7cc3ee93b08e48ec7,Warranty & Support,Warranty Information,Warranty Terms and Conditions,0.95,6915,572,41
167,e70c37557bfcff87250efd86657f89f497e5617423c46ef8aa41629da9c08e01,Order Management,Order Status & Tracking,Tracking Information Requests,0.9,7939,748,32
168,90919f8872aabb41b2eb24159fbcd42f926cb3a652bb58fec475e3b5778b0261,Billing & Payment,Refunds,Refund Status Checks,0.9,7257,644,39
169,8a58d003177fea04f91246982923755b05d1086c212c89b3a239c09e5cc1e9d4,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.8,10812,649,36
170,0175f083a1fe5a9c786a3a1df07113f9c26453a2cd059eef73ec42788e38061f,Product Issues,Defective Products,Installation Problems,0.9,5722,595,37
171,854365e3d1682d1a2f9f7b299929e07ab1f5da0b61f917276126e70c62dc3498,Returns & Exchanges,Return Processes,Return Eligibility,0.0,6278,746,33
172,83457c8b4037948847f33d31a402a826790b8ab28b14760cbda27eb75cb0ae7a,Product Issues,Wrong Items Received,Size/Model Mismatches,1.0,4816,580,33
173,795a22efcb3b42482e74922e2043a6e4c516813980e2195dcbdd1bfd4bc289fa,Returns & Exchanges,Return Processes,Return Eligibility,0.9,13600,606,31
174,ea9f0fe32ce489b83a90950b1e5a8b7b07b1928c4b9a795c63ca2fa3c1944ee8,Account Management,Login Issues,Password Reset Requests,0.95,5658,759,32
175,7be5bde2359268a41b83761fb07c457f230bd894d337a2be06f8dc368cafdabb,Product Issues,Defective Products,Not Working Properly,0.9,5999,558,35
176,b8ee2dae2f62222afbde70a916717e5b1e95f116f01af3eafbf58d3b188f2dc0,Product Issues,Defective Products,Not Working Properly,0.95,15680,730,33
177,d4d3f777277881e93ad2ab039cb8627841af08744e42140209cc8a64b2c51cac,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.9,5423,832,32
178,060a869ee6db469076123f60274ffdf86db614904664cc8d4c54d2a99c6996b8,Warranty & Support,Warranty Information,Warranty Claim Processes,0.9,12366,692,33
179,b30ef2aaf3fe65bd39f8f984b73e9a5d9f5af21190624b468f46490eac06d0ce,ERROR,ERROR,ERROR,0.0,0,0,0
180,30cf1d7597527ae2a102e0f06eb1b8e140fb21ab4f331660647f4460ddaaee25,ERROR,ERROR,ERROR,0.0,0,0,0
181,6c3621e2ede1b66efcf545f9b91f6ed15778cbf2071da4866af50343c5819611,Order Management,Order Status & Tracking,Delivery Status Inquiries,0.8,8961,486,32
182,02dbdd872820460482e5c8cdd9a99f14cbd27ae3ee9e5d2a92da7247d6c14ad2,Returns & Exchanges,Return Processes,Return Eligibility,0.9,9350,585,38
183,f29a75945fe4cd18090758cfc8ceef71d77700b8b7545355e9cd7ba00fba0977,Product Issues,Defective Products,Not Working Properly,0.8,7182,760,34
184,d6273f8f70e9fafe7a7a8f8958b863abeae7d9b44f7e35fb798023ad1190a340,Billing & Payment,Refunds,Refund Status Checks,0.8,11674,762,32
185,ca78f6447addde9ba49d349878f5d60d225ee2751cd9fa8cca472332fffd12a6,Order Management,Order Status & Tracking,Order Confirmation Checks,1.0,8810,446,32
186,4b60cbe639d92cc202e167536f078e7e8922163b8049ed497622074284694278,ERROR,ERROR,ERROR,0.0,0,0,0
187,43d8f0148a33fe195d4db50ae24fa21abf5ed6eb3470ec077548ee97f1efbfc7,Warranty & Support,Warranty Information,Warranty Claim Processes,0.95,4789,472,38
188,625776745e541e9f1d69f30b50f1f02cc0d8ec8571454ec58c10f594b7c5efac,Returns & Exchanges,Return Processes,Return Eligibility,0.9,21716,561,36
189,4595ae98f696f3b9543da69e834d756d6e55fd6661f1f2d49d297d7f3b6ad766,Billing & Payment,Refunds,Refund Processing Times,0.8,6520,568,40
190,afb24ade38e0c643337c33d4cd27029a42934ea70c26c9db3e1a53557ea4a6a5,ERROR,ERROR,ERROR,0.0,0,0,0
191,e51f381ff76cd6ba061a55e56d7be44d7cfba13c8cd8e2388db9679675d77405,Order Management,Order Status & Tracking,Order Confirmation Checks,0.0,5825,788,33
192,3b72655121fe9b32a067ed8d8392e4f6564a5dd9fa4b2da8d836058719b15935,Account Management,Login Issues,Password Reset Requests,0.9,5366,702,32
193,8a68b6e5fb119046ffd6b3abf32b751d9420641de3901fd45af769a4e336a0b2,ERROR,ERROR,ERROR,0.0,0,0,0
194,e46007fcb8a00035097258298bc2b8a917e468f26aca3b502ab4088c82f67cda,Pricing & Promotions,Pricing Discrepancies,Different Prices for Same Products,0.8,9502,862,34
195,bbab0c345284b414a34105e6ff6dafc5f371f55b4d5ac9bfd3b02e3ef75da8e7,Order Management,Order Modifications,Cancellation Requests,0.95,6990,487,38
196,7a7f50f59d3a1cb64202737f3c75ad00bd66d9db62908385983f52759472fba9,ERROR,ERROR,ERROR,0.0,0,0,0
197,bb2aacebb9fe9ce863a4aae771721c1f77e6c0d6dfe61ca81a16196dce9262e8,Order Management,Order Status & Tracking,Delivery Status Inquiries,0.8,56045,194,37
198,d9f2730ba1501354f88e9ce0b8708f13f61c191df3946b8ab2473b07c039d48a,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.9,7372,671,31
199,f0d263081c3991bbfd4e8bafe42d5b8771500d43df98cf41c0e9bbf493bf0b37,Returns & Exchanges,Return Processes,Return Eligibility,0.95,9406,700,33
200,25dc3b0c3119c76a0de675f1aaceacd6b42a4fb526571b19af69b3fe68c22eaa,Returns & Exchanges,Return Processes,Return Eligibility,0.95,5705,838,34
201,5eb46e511e16fd76510c4dcf79fc2d8e884580fc1ed4ac1fbb2ff6a52e3ea132,Order Management,Order Modifications,Cancellation Requests,0.9,5593,584,34
202,58c7150e46e95bda379465e1313bfc88d9de9bc507e1463e691f5ffadac3dbba,ERROR,ERROR,ERROR,0.0,0,0,0
203,e94731229ce7ad4a335da354c0dcb07713506e00613b9ed2cd8daac6fd1fb16c,Product Issues,Defective Products,Not Working Properly,0.95,5350,624,34
204,d87ea254b12109cf784c77d509e210a69ac3a5df718d40001e48d938d07a42d5,Returns & Exchanges,Exchange Requests,Defective Item Exchanges,0.95,5203,1197,33
205,ad97e2acd7439659054cb3feb58721f4497fecaee4c4841f6e6dafb4ea712a86,Returns & Exchanges,Return Processes,Return Eligibility,0.95,4317,489,39
206,672704bdfd412a59fa91d69e1aa9f5d533cee67624d23851edd32cd3b9dcc9b8,Inventory & Availability,Stock Issues,Out of Stock Products,1.0,5573,513,33
207,eb985c60b89754fbd167ec8de12c071587f9762ec61ea26590e1a9c1c87dc641,Inventory & Availability,Stock Issues,Out of Stock Products,1.0,5285,551,33
208,d69d0049957d7c22f0ff7ca57d7358857fde2cb78cc103ab3b38648c29ada47d,Account Management,Login Issues,Mobile/Email Verification Problems,0.9,4674,642,33
209,2e9e274041c8a5115ca04d89d2f6e23fd0cc336eb8fe508792fb7a648c3ff507,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.9,5662,624,32
210,21f72dbb309aeef4437c77bf9e700a5ceff779e2b233aea50e27024eecf79dd1,Product Issues,Wrong Items Received,Size/Model Mismatches,1.0,5072,903,32
211,92e940190606d9fa6b3b39b6569d8020130939d63da6b38d6ee15e9d342e43d5,Account Management,Login Issues,Mobile/Email Verification Problems,0.8,5073,629,32
212,3d2430d70aa6f5ea3b5903df7e8257f0644aff97ad2a4feb2d3a6c05a89d7ea0,Inventory & Availability,Stock Issues,Out of Stock Products,1.0,4890,832,33
213,a677161f695d9d1389efe4e9f83846ddc1781c3233d1aae4450bcb0f6bc615fa,Warranty & Support,Warranty Information,Warranty Claim Processes,0.9,58503,660,38
214,16fb46a255a3e447ad023c4346ee18a28613151171aac95738d017bcab1103db,Returns & Exchanges,Exchange Requests,Product Replacements,0.95,4672,735,33
215,b2113050378defab1a6503abf8a43961e2c35da9564d4bd7b584cd1e58cf916e,Pricing & Promotions,Pricing Discrepancies,Different Prices for Same Products,0.9,5071,706,32
216,8bdb0a621aa41d5bc76b29e85e30f9b6a1faf728b3d27b1ab0338e5d100155f6,Returns & Exchanges,Exchange Requests,Defective Item Exchanges,0.8,4516,602,32
217,3f0f9e0c805bc4f8f26ec76b33f8a6be3d0f038a6220a3b5cd6e0c29dfcf65aa,Pricing & Promotions,Pricing Discrepancies,Different Prices for Same Products,0.8,5974,533,35
218,917542071fe41e3a32c7eb0a316eac4fc14b23e0430aa7118b182845544241f8,Order Management,Order Status & Tracking,Delivery Status Inquiries,0.0,5770,632,32
219,7a1d0d1982850bcd7ac4bcd38081bca34aa876b0c04f8881fd0b265bb587da3d,Account Management,Account Information Updates,Email Address Changes,1.0,5434,532,33
220,7e94404d7a78608cc3b8d94bcd47e5a891e90e104f98fd59ee7c5202042f0fac,Product Issues,Wrong Items Received,Incorrect Product Shipped,1.0,5509,532,32
221,caeb9f98b1d2ead96734868a395665bc6bddbb69ac6511e65da73bccae01b9ec,Account Management,Login Issues,Mobile/Email Verification Problems,0.9,4824,538,33
222,d8d3975285278765042c5c34ee0aebe31f24cc2a88f23d31b33e51c78bdfaff6,Returns & Exchanges,Return Processes,Return Eligibility,0.9,9511,613,31
223,7f7bc5bc3158f7d1f4a3d1035827ea39eeb5e6638f34579444c7ef380f0d7251,ERROR,ERROR,ERROR,0.0,0,0,0
224,ce20319d0069f0d6927d6059141e09da5ad3e3e2a9465ab4462dfb3d81b9f3e1,Returns & Exchanges,Return Processes,Return Eligibility,0.0,5729,529,33
225,e87305a0fd6286c9750aff6d8ba2a2fb408083d8296c4a448624eb87752d98f2,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.9,4683,880,32
226,095728c2730ca2ffffd1c79b3d7ba9f66e00bfad0acf2ca1b6362b94516ef588,Returns & Exchanges,Return Processes,Return Eligibility,0.0,5175,627,31
227,0c3414fff7bea51b10f6330f5b27960b6cb98703ac6f870c22cfa4b92b61c15e,Order Management,Order Status & Tracking,Delivery Status Inquiries,0.9,5212,552,32
228,15141104665d442b2b1488a6f39f4308fce29831524c376c775e6694c2550282,ERROR,ERROR,ERROR,0.0,0,0,0
229,fbfb263e1ed6232594fffff968186c6119a427ce5556e5fb63a46f89601118b3,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.8,5526,947,32
230,47c8b13c8a7af3e754280c28cc25360a6c04cf1dd29cdaba4659ade9db33b75a,Account Management,Login Issues,Mobile/Email Verification Problems,0.9,4244,464,37
231,8f7f4d5c02b76c03041502da5820d28320eb9217ba72013165b0f97f397825ff,Returns & Exchanges,Return Processes,Return Eligibility,0.9,4996,558,38
232,03dfa6a0857577c2bd50f81a46faf0a2a8df3eb04bc7b8468feb382a08203574,Product Issues,Defective Products,Not Working Properly,0.9,5604,604,34
233,1b8a22086026af9cbd92273e88d27479151107a9829798c7b5191141c007d727,Order Management,Order Status & Tracking,Delivery Status Inquiries,0.0,4947,684,32
234,5b06e069e0e862a30d4205b5144a974eee6b637d49d3135911904f03b190d017,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.9,5311,722,32
235,fedafdf94ab5c2cf154474e533b180a1cccc8254ccb0de8c607561ea7807ff2b,Delivery & Shipping,Shipping Options,Shipping Availability by Location,1.0,8279,735,30
236,1dedec4fe9f84cc33d7129357e72adb6ca4044692e40e8cc8cb8e7f65a3d4fe7,Warranty & Support,Warranty Information,Warranty Terms and Conditions,0.0,5003,680,32
237,9dfa7393e5c330352e1ad967a2c80f7d44c6217671a60edc7b7737360741c5dc,Order Management,Order Status & Tracking,Order Confirmation Checks,0.0,4869,621,32
238,8f79bd76dc9d5859fad1a64fde2190d86d79d5c6b8baf430e494fb60473705fe,Returns & Exchanges,Return Processes,Return Eligibility,0.9,4773,728,30
239,1b588a370169e73ef3978a1c9e35bd37591d779155e17c98fa61abad3a342ab0,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.9,5062,757,33
240,60f8c11110892d85d87dbb9edd6f55421e1504156e7d209f1a63f6dbd67f29bc,ERROR,ERROR,ERROR,0.0,0,0,0
241,3e9d904ee45422a1a4d9ff3c2c537249a176634246f128d738e1312684b2fc25,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.9,6935,750,32
242,2fb11d5112dc097d6c8f40a1ef72ce2a5fb7843d8759916ffb4c65503fe99aab,Delivery & Shipping,Shipping Options,Faster Delivery Requests,0.9,6124,688,33
243,e3ecfbc9527c1699d705fafb818b330148f3719bc7d7dedfc2c8c145e4cf7cec,Warranty & Support,Warranty Information,Warranty Terms and Conditions,1.0,5221,420,32
244,cb278237b011cd2d77badd487a3bd05c4ef205d69adf68d8953cf49508247c05,Returns & Exchanges,Return Processes,Return Eligibility,0.0,4475,544,33
245,55c833cdf02dedb36525160bf20857fe84ec311e53faf9a222969de21261771e,Delivery & Shipping,Delivery Problems,Delayed Deliveries,0.9,5223,596,32
246,aad3fea0dfdb47c5274fa5c8490ec71e9547f829850507826be933cacec2f98e,Returns & Exchanges,Return Processes,Return Fees and Policies,0.9,5266,734,32
247,b6a86bafcddca42d0d65da31b7c9b0ad7bea02ac02d9197bc8cbb1db7e3dffb5,Order Management,Order Modifications,Cancellation Requests,0.8,20692,513,33
248,55c7010d5e2432265276f519b50564acd3979baafb1d82712d4294da7469fdf6,ERROR,ERROR,ERROR,0.0,0,0,0
249,e77b6840808e5e6cdc8e05352c90105649c11f5524eb223704c60e061a43ca4d,Warranty & Support,Warranty Information,Warranty Terms and Conditions,0.0,5381,689,33
250,6cd6809caf6822419419c4b05409c06044152b316c3a80be9287358b2c313af3,Order Management,Order Status & Tracking,Delivery Status Inquiries,0.8,5181,912,33
251,7004cd3204b7795d803c84b058459b8a34fda930ecc11ab0baa40b5394492a1f,Product Issues,Defective Products,Not Working Properly,1.0,5620,673,33
252,26c62ecdfc2a673fdfe579d49ae1afa90264e00d6a028677cb70f6401d1126f9,ERROR,ERROR,ERROR,0.0,0,0,0
253,9d54c4870285db7b1d72758b8dcece436dadc1793c3b51b2d0cee04e666c59a8,Billing & Payment,Refunds,Refund Status Checks,0.0,4861,550,31
254,7b81ff18201f539124fe7f97e77e26c35c48e0cc91f04f7807d21231818b27b7,Billing & Payment,Refunds,Refund Status Checks,0.0,5426,677,32
255,b8c5aecdc2b0d74a7200f2c5117295f4b9cfd739b2c8a4e3b6650c62deaa28bc,Product Issues,Defective Products,Not Working Properly,0.9,5371,642,39
256,2df707b2b0fe99dc5ed3a42e5e2f033895715263bb5b905ad7f21cac5a119fcd,Account Management,Account Information Updates,Email Address Changes,0.9,4884,635,33
257,339170693c4bdd503eb9d3ffdba23b49ce976291ff54769cd55ad76c82ac7d53,Returns & Exchanges,Return Processes,Return Eligibility,0.9,4651,572,31
258,b1b2e5001cafb79a413e6925bcb70c1209d16926a13abc926568fa97f2579a5e,Warranty & Support,Warranty Information,Warranty Terms and Conditions,0.0,4583,572,34
259,625ff89210f904f9906776c73fab6d0378c7f0861061550b7ff52faf1bee7d62,Returns & Exchanges,Exchange Requests,Defective Item Exchanges,0.9,4839,1051,32
260,f342c7fa12e2a1e2f2400ef734770942d2dc7d0f06f45470e7031626c0298a70,Warranty & Support,Technical Support,Product Troubleshooting,0.95,5390,643,32
261,ef9888702412ee6d15dad18a90d747dabac65ae19a29f4435c9e1701dbfdde5c,Warranty & Support,Warranty Information,Warranty Terms and Conditions,0.8,4870,676,32
262,949533514612c62845b0b580c9651d83295e00e160e48456eacc8362c9295ca5,ERROR,ERROR,ERROR,0.0,0,0,0
263,41cd43d70b35b243639c280b9fdf4eea465649c1ffccc31cb178fafc941df043,Product Issues,Defective Products,Not Working Properly,0.95,5140,570,33
